ruleOrder,Setup.started,Setup.stopped,participant,lang,date,expName,psychopyVersion,OS,frameRate,hub,task,GNG_instructions.started,GNG_instructions.stopped,Practice_instructions.started,Practice_instructions.stopped,Fixation.started,Fixation.stopped,Practice.started,Practice.stopped,ITI.started,ITI.stopped,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,Block_start_2.started,Block_start_2.stopped,Trial.started,Trial.stopped,responded,rt,resp_source,isGo,hit,miss,false_alarm,correct_rejection,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,block_loop.ran,Bye.started,Bye.stopped
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,22.359,22.709,,,,,,12,Crisps,2,,,,1,,,,21.591,22.096,1,0.438,tap,1,1,0,0,0,8,0,8,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,23.478,23.795,,,,,,35,Foccacia,4,,,,1,,,,22.71,23.212,1,0.435,tap,1,1,0,0,0,9,0,9,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,24.713,25.264,,,,,,30,Onion rings,3,,,,1,,,,23.795,24.449,1,0.587,tap,1,1,0,0,0,10,0,10,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,27.117,27.685,,,,,,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,,,,0,,,,25.265,26.867,0,,none,0,0,0,0,1,11,0,11,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,28.47,28.904,,,,,,9,Healthy cracker (Darvida),1,,,,1,,,,27.686,28.207,1,0.471,tap,1,1,0,0,0,12,0,12,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,30.757,31.508,,,,,,37,Pain au chocolat,4,,,,0,,,,28.905,30.506,0,,none,0,0,0,0,1,13,0,13,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,32.242,32.726,,,,,,17,"Salted nuts (Cashew, peanuts, pistacchios)",2,,,,1,,,,31.509,31.98,1,0.421,tap,1,1,0,0,0,14,0,14,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,33.461,33.844,,,,,,11,Crisps,2,,,,1,,,,32.727,33.202,1,0.409,tap,1,1,0,0,0,15,0,15,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,34.612,35.281,,,,,,28,Burger (vegetarian),3,,,,1,,,,33.845,34.351,1,0.439,tap,1,1,0,0,0,16,0,16,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,35.981,36.465,,,,,,17,"Salted nuts (Cashew, peanuts, pistacchios)",2,,,,1,,,,35.282,35.718,1,0.371,tap,1,1,0,0,0,17,0,17,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,38.318,39.019,,,,,,4,Plain yogurt,1,,,,0,,,,36.465,38.067,0,,none,0,0,0,0,1,18,0,18,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,39.619,40.287,,,,,,11,Crisps,2,,,,1,,,,39.019,39.36,1,0.274,tap,1,1,0,0,0,19,0,19,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,40.988,41.391,,,,,,35,Foccacia,4,,,,1,,,,40.287,40.725,1,0.371,tap,1,1,0,0,0,20,0,20,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,43.407,44.142,,,,,,17,"Salted nuts (Cashew, peanuts, pistacchios)",2,,,,1,,,,41.391,42.99,0,,none,1,0,1,0,0,21,0,21,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,44.827,45.211,,,,,,12,Crisps,2,,,,1,,,,44.143,44.569,1,0.377,tap,1,1,0,0,0,22,0,22,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,45.962,46.362,,,,,,11,Crisps,2,,,,1,,,,45.211,45.703,1,0.426,tap,1,1,0,0,0,23,0,23,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,48.215,48.966,,,,,,10,"Dried fruits (apricot, mango)",1,,,,0,,,,46.363,47.965,0,,none,0,0,0,0,1,24,0,24,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,50.819,51.119,,,,,,40,Tresse,4,,,,0,,,,48.966,50.568,0,,none,0,0,0,0,1,25,0,25,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,51.905,52.304,,,,,,12,Crisps,2,,,,1,,,,51.12,51.647,1,0.459,tap,1,1,0,0,0,26,0,26,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,53.022,53.556,,,,,,15,Flute,2,,,,1,,,,52.306,52.761,1,0.39,tap,1,1,0,0,0,27,0,27,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,54.324,54.708,,,,,,5,Bell pepper,1,,,,1,,,,53.557,54.065,1,0.459,tap,1,1,0,0,0,28,0,28,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,55.409,55.877,,,,,,12,Crisps,2,,,,1,,,,54.708,55.146,1,0.37,tap,1,1,0,0,0,29,0,29,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,56.578,57.162,,,,,,12,Crisps,2,,,,1,,,,55.877,56.315,1,0.372,tap,1,1,0,0,0,30,0,30,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,57.913,58.448,,,,,,25,French fries,3,,,,1,,,,57.162,57.652,1,0.423,tap,1,1,0,0,0,31,0,31,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,59.282,59.633,,,,,,5,Bell pepper,1,,,,1,,,,58.448,59.027,1,0.513,tap,1,1,0,0,0,32,0,32,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,60.284,61.018,,,,,,9,Healthy cracker (Darvida),1,,,,1,,,,59.633,60.019,1,0.32,tap,1,1,0,0,0,33,0,33,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,61.702,62.153,,,,,,9,Healthy cracker (Darvida),1,,,,1,,,,61.019,61.444,1,0.376,tap,1,1,0,0,0,34,0,34,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,62.771,63.388,,,,,,22,Pizza (vegetarian),3,,,,1,,,,62.154,62.51,1,0.29,tap,1,1,0,0,0,35,0,35,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,64.056,64.407,,,,,,5,Bell pepper,1,,,,1,,,,63.389,63.792,1,0.337,tap,1,1,0,0,0,36,0,36,0,1,,,,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_10h52.40.007,GNG,2024.2.4,iPhone,58.82352941,https://run.pavlovia.org/LNS/hub/,GNG,,,,,,,,,65.142,65.826,,,,,,25,French fries,3,,,,1,,,,64.407,64.881,1,0.407,tap,1,1,0,0,0,37,0,37,0,1,,,,,,,
