ruleOrder,Setup.started,Setup.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,GNG_instructions.started,GNG_instructions.stopped,Practice_instructions.started,Practice_instructions.stopped,Fixation.started,Fixation.stopped,Practice.started,Practice.stopped,ITI.started,ITI.stopped,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,Block_start_2.started,Block_start_2.stopped,Trial.started,Trial.stopped,responded,rt,resp_source,isGo,hit,miss,false_alarm,correct_rejection,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,block_loop.ran,Bye.started,Bye.stopped
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,370.2264,370.8429,,,,,,18,Popcorn,2,,,,1,,,,368.1091,369.7086,0,,none,1,0,1,0,0,80,0,80,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,372.943,373.7097,,,,,,28,Burger (vegetarian),3,,,,1,,,,370.8434,372.4418,0,,none,1,0,1,0,0,81,0,81,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,375.8096,376.5763,,,,,,18,Popcorn,2,,,,1,,,,373.71,375.3092,0,,none,1,0,1,0,0,82,0,82,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,378.6921,379.2096,,,,,,28,Burger (vegetarian),3,,,,1,,,,376.5767,378.1752,0,,none,1,0,1,0,0,83,0,83,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,381.3264,382.0087,,,,,,28,Burger (vegetarian),3,,,,1,,,,379.21,380.8094,0,,none,1,0,1,0,0,84,0,84,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,384.1261,384.8429,,,,,,20,Tortillas,2,,,,1,,,,382.0091,383.6091,0,,none,1,0,1,0,0,85,0,85,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,386.9596,387.7428,,,,,,15,Flute,2,,,,1,,,,384.8433,386.4426,0,,none,1,0,1,0,0,86,0,86,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,389.8587,390.5929,,,,,,30,Onion rings,3,,,,1,,,,387.7432,389.3427,0,,none,1,0,1,0,0,87,0,87,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,392.7097,393.2753,,,,,,28,Burger (vegetarian),3,,,,1,,,,390.5935,392.1926,0,,none,1,0,1,0,0,88,0,88,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,395.393,395.9929,,,,,,28,Burger (vegetarian),3,,,,1,,,,393.2756,394.8761,0,,none,1,0,1,0,0,89,0,89,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,398.0929,398.9086,,,,,,13,Crisps,2,,,,1,,,,395.9935,397.5917,0,,none,1,0,1,0,0,90,0,90,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,401.0262,401.8928,,,,,,22,Pizza (vegetarian),3,,,,1,,,,398.909,400.5093,0,,none,1,0,1,0,0,91,0,91,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,404.0086,404.7929,,,,,,13,Crisps,2,,,,1,,,,401.8932,403.4927,0,,none,1,0,1,0,0,92,0,92,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,406.9087,407.4588,,,,,,15,Flute,2,,,,1,,,,404.7934,406.3927,0,,none,1,0,1,0,0,93,0,93,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,409.5596,410.1262,,,,,,5,Bell pepper,1,,,,1,,,,407.4593,409.0592,0,,none,1,0,1,0,0,94,0,94,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,412.2429,412.9428,,,,,,15,Flute,2,,,,1,,,,410.1266,411.7259,0,,none,1,0,1,0,0,95,0,95,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,414.8586,415.4926,,,,,,56,Macarons,6,,,,0,,,,412.9432,414.5427,0,,none,0,0,0,0,1,96,0,96,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,417.6096,418.1261,,,,,,36,Pretzel,4,,,,1,,,,415.4929,417.0917,0,,none,1,0,1,0,0,97,0,97,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,420.0261,420.7928,,,,,,34,Donuts,4,,,,0,,,,418.1265,419.7256,0,,none,0,0,0,0,1,98,0,98,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,422.9097,423.6085,,,,,,13,Crisps,2,,,,1,,,,420.7932,422.3927,0,,none,1,0,1,0,0,99,0,99,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,425.7261,426.5428,,,,,,25,French fries,3,,,,1,,,,423.6089,425.2091,0,,none,1,0,1,0,0,100,0,100,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,428.6595,429.1593,,,,,,13,Crisps,2,,,,1,,,,426.5432,428.1425,0,,none,1,0,1,0,0,101,0,101,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,431.0595,431.8761,,,,,,34,Donuts,4,,,,0,,,,429.1597,430.7582,0,,none,0,0,0,0,1,102,0,102,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,433.9928,434.6756,,,,,,25,French fries,3,,,,1,,,,431.8763,433.4757,0,,none,1,0,1,0,0,103,0,103,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,436.5762,437.2423,,,,,,6,Cut strawberry,1,,,,0,,,,434.6759,436.2758,0,,none,0,0,0,0,1,104,0,104,0,1,,,,,,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,
,,,052224,001,2026-03-27_13h19.20.474,GNG,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.2434,440.2591
