aat_ruleOrder,Setup.started,Setup.stopped,participant,lang,date,expName,psychopyVersion,OS,frameRate,hub,task,AAT_instructions.started,AAT_instructions.stopped,AAT_prac_instructions.started,AAT_prac_instructions.stopped,AAT_fixation.started,AAT_fixation.stopped,AAT_practice_trial.started,AAT_practice_trial.stopped,aat_prac_img,aat_prac_RT,aat_prac_response,aat_prac_velocity,aat_prac_init_latency,aat_prac_reversal,aat_prac_distance,aat_prac_displacement,aat_prac_speed,aat_prac_move_time,aat_prac_correct,aat_prac_responded,aat_prac_loop.thisRepN,aat_prac_loop.thisTrialN,aat_prac_loop.thisN,aat_prac_loop.thisIndex,aat_prac_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,AAT_block_start.started,AAT_block_start.stopped,AAT_trial.started,AAT_trial.stopped,aat_block,aat_food_item,aat_food_name,aat_category,aat_cond,aat_congruency,aat_img_file,aat_RT,aat_response,aat_velocity,aat_init_latency,aat_reversal,aat_distance,aat_displacement,aat_speed,aat_move_time,aat_correct,aat_responded,aat_trial_loop.thisRepN,aat_trial_loop.thisTrialN,aat_trial_loop.thisN,aat_trial_loop.thisIndex,aat_trial_loop.ran,AAT_break.started,AAT_break.stopped,Bye.started,Bye.stopped
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,21.166,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.801,22.448,1,40,Tresse,4,0,compatible,Items_pictures/40_tresse.png,0.565,approach,6.820512821,0.515,0,0.507692308,0.341025641,6.820512821,0.05,0,1,4,0,4,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,22.702,23.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.37,24.018,1,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/41_chocolate_snack.png,0.548,approach,6.967106967,0.515,0,0.467521368,0.22991453,5.646205646,0.033,0,1,5,0,5,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,24.271,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.94,25.554,1,15,Flute,2,1,incompatible,Items_pictures/15_flute.png,0.514,avoid,3.750478377,0.447,0,0.413675214,0.251282051,3.750478377,0.067,0,1,6,0,6,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,25.808,26.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.226,26.84,1,30,Onion rings,3,1,incompatible,Items_pictures/30_onion_rings.png,0.531,avoid,5.681246858,0.48,0,0.388034188,0.28974359,5.681246858,0.051,0,1,7,0,7,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,27.094,27.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.863,28.576,1,9,Healthy cracker (Darvida),1,1,incompatible,Items_pictures/9_healthy_cracker.png,0.614,avoid,4.307692308,0.564,0,0.408547009,0.215384615,4.307692308,0.05,0,1,8,0,8,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,28.831,29.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.483,30.147,1,47,Gummy candies,5,0,compatible,Items_pictures/47_gummy_candy.png,0.582,approach,5.773591488,0.533,0,0.388034162,0.282905983,4.779347104,0.049,0,1,9,0,9,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,30.401,30.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.919,31.533,1,30,Onion rings,3,1,incompatible,Items_pictures/30_onion_rings.png,0.531,approach,5.58974359,0.481,0,0.407692334,0.279487179,5.367521889,0.05,0,1,10,0,10,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,31.787,32.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.272,33.07,1,41,"Chocolate snacks (e.g. Kinder, Knoppers)",5,0,compatible,Items_pictures/41_chocolate_snack.png,0.731,approach,7.128568831,0.684,0,0.511965812,0.335042735,7.128568831,0.047,0,1,11,0,11,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,33.323,33.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.891,34.574,1,10,"Dried fruits (apricot, mango)",1,0,compatible,Items_pictures/10_dried_fruits.png,0.598,approach,8.33980834,0.565,0,0.432478632,0.275213675,8.33980834,0.033,0,1,12,0,12,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,34.826,35.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.611,36.209,1,5,Bell pepper,1,1,incompatible,Items_pictures/5_bell_pepper.png,0.514,avoid,5.911680912,0.466,0,0.411965812,0.283760684,5.911680912,0.048,0,1,13,0,13,0,1,,,,
